Egbertree Emsham Burrerchester Skelhampton Elmey Watchwang Todderbrough Ciringsmith Canningborough Rotling Ketley Marlseybrough Clerelow Blanhead Ciringbury Shaftgrove Soddleney Flitchester Egginghall Egmansdown Reddledenthorne Emsling Camborough Cleremere Fulover Skelberover Worborough Candlesstanling Falrensbury Chipmerbrook Leatherlow Whithall Tipdown Whithall Leatherlow Chipmerbrook Candlesstanling Worborough Fulover Cleremere Camborough Emsling Egmansdown Egginghall Soddleney Shaftgrove Ciringbury Blanhead Clerelow Ketley Rotling Canningborough Ciringsmith Todderbrough Wetbury Watchwang Elmey Burrerchester Emsham Egbertree
12
Egbertree Bootherlow
Skelhampton Skelhampton
Todderbrough Todderbrough
Ciringsmith Ciringsmith
Marlseybrough Marlseybrough
Shaftgrove Shaftgrove
Soddleney Soddleney
Reddledenthorne Reddledenthorne
Cleremere Cleremere
Fulover Fulover
Falrensbury Falrensbury
Tipdown Tipdown Sidensmith
